,EUR,GBP,JPY,AUD,CHF,CAD,NZD,SEK,NOK
2009-01-01,1.43652380952381,1.3227600000000002,-0.30000000000000004,2.72,-0.9261243,-0.21750000000000003,3.36,0.33000000000000007,2.68
2009-02-01,0.78305,0.9303800000000002,-0.44999999999999996,2.0,-1.049997055555556,-0.4324999999999999,2.24,-0.30999999999999994,2.3200000000000003
2009-03-01,0.5654545454545499,0.76139,-0.42000000000000004,2.09,-0.9569869523809521,-0.6625000000000001,2.17,-0.67,2.0999999999999996
2009-04-01,0.5322999999999999,0.64413,-0.29000000000000004,2.21,-0.7997538181818182,-0.5660000000000001,2.23,-0.5900000000000001,1.98
2009-05-01,0.7117000000000001,0.78795,0.0,2.56,-0.47872194117647054,-0.38999999999999996,2.25,-0.09999999999999998,1.83
2009-06-01,0.8379090909090899,0.8511700000000001,0.17000000000000004,2.86,-0.3028694736842105,-0.165,2.3899999999999997,0.0,1.71
2009-07-01,0.6249565217391311,0.6511300000000001,0.20000000000000007,2.79,-0.2782154347826087,-0.11599999999999996,2.44,-0.16999999999999998,1.52
2009-08-01,0.560476190476191,0.47369,0.24000000000000005,3.0,-0.2261631904761905,-0.06999999999999998,2.46,-0.13999999999999999,1.5799999999999998
2009-09-01,0.522090909090909,0.3556,0.29000000000000004,3.12,-0.176599619047619,-0.03,2.52,-0.1,1.68
2009-10-01,0.49750000000000005,0.33087,0.29000000000000004,3.54,-0.15499666666666667,-0.024999999999999994,2.55,-0.06,1.7899999999999998
2009-11-01,0.5061904761904761,0.39936000000000005,0.30000000000000004,3.74,-0.091464214285714,0.0050000000000000044,2.59,-0.03,1.8399999999999999
2009-12-01,0.492045454545454,0.38541000000000003,0.24000000000000002,3.9090476189999994,-0.104380090909091,-0.021999999999999992,2.5599999999999996,-0.04999999999999999,1.86
2010-01-01,0.47974999999999995,0.41265,0.25,4.0024999999999995,-0.1096406,-0.027500000000000024,2.5799999999999996,0.0,2.05
2010-02-01,0.47169999999999995,0.4431,0.25,3.97,-0.09125675,-0.024999999999999994,2.54,0.03,2.08
2010-03-01,0.41495652173913,0.41549,0.19999999999999998,4.097499999999999,-0.13422227272727272,-0.0020000000000000018,2.44,0.0,2.07
2010-04-01,0.34470000000000006,0.35591999999999996,0.10000000000000003,4.245,-0.21205649999999998,0.03750000000000003,2.39,-0.010000000000000009,2.0900000000000003
2010-05-01,0.23652380952380997,0.24713000000000002,-0.06,4.3549999999999995,-0.36809025,-0.06,2.44,-0.16999999999999998,2.05
2010-06-01,0.20759090909090894,0.20838999999999996,-0.14,4.3675,-0.40225925,0.0020000000000000018,2.55,-0.25,2.15
2010-07-01,0.43881818181818205,0.32603,-0.03999999999999998,4.43,-0.22714880952380997,0.16499999999999998,2.82,-0.019999999999999962,2.28
2010-08-01,0.5754999999999999,0.41295999999999994,0.03999999999999998,4.422499999999999,-0.11343065,0.34,2.93,0.13,2.33
2010-09-01,0.6004999999999999,0.44858999999999993,0.07999999999999996,4.535,-0.06618790476190503,0.57,2.9000000000000004,0.24,2.3600000000000003
2010-10-01,0.727666666666667,0.4683999999999999,0.07,4.539999999999999,-0.022082250000000025,0.625,2.91,0.54,2.29
2010-11-01,0.77204545454545,0.4690099999999999,0.07,4.744999999999999,-0.08399895000000002,0.6825,2.9,0.8400000000000001,2.2399999999999998
2010-12-01,0.72169565217391,0.44961999999999996,0.040000000000000036,4.7250000000000005,-0.108631888888889,0.694,2.87,0.98,2.29
2011-01-01,0.7272380952380999,0.47866000000000003,0.050000000000000044,4.665,-0.13918980952381,0.6725000000000001,2.9,1.2,2.3
2011-02-01,0.8067500000000001,0.51962,0.06,4.6375,-0.14045725000000003,0.6725,2.8499999999999996,1.46,2.33
2011-03-01,0.89552173913043,0.52913,0.05614999999999998,4.64,-0.12487582608695702,0.646,2.41,1.46,2.34
2011-04-01,1.09121052631579,0.59096,0.10285999999999998,4.67,-0.09054588888888901,0.735,2.42,1.57,2.46
2011-05-01,1.21509090909091,0.61344,0.12214,4.7925,-0.09055013636363599,0.7525000000000001,2.45,1.7,2.5100000000000002
2011-06-01,1.26859090909091,0.60512,0.11213999999999999,4.7725,-0.11794035,0.7080000000000001,2.4299999999999997,1.6300000000000001,2.63
2011-07-01,1.35761904761905,0.5889,0.09214,4.715,-0.1490445238095238,0.6825,2.4699999999999998,1.56,2.7
2011-08-01,1.2620869565217399,0.56782,0.03856999999999999,4.5675,-0.3575968,0.5840000000000001,2.61,1.42,2.81
2011-09-01,1.2064545454545499,0.5881000000000001,-0.0007099999999999884,4.4799999999999995,-0.39107027272727274,0.5425,2.55,1.25,2.75
2011-10-01,1.2058571428571399,0.59991,-0.04070999999999997,4.3549999999999995,-0.4633598947368421,0.49250000000000005,2.3899999999999997,1.08,2.71
2011-11-01,1.07468181818182,0.60182,-0.08070999999999995,4.2124999999999995,-0.4753187,0.47200000000000003,2.28,1.04,2.75
2011-12-01,0.9360952380952401,0.57148,-0.16070999999999996,4.0175,-0.41,0.33999999999999997,2.2,0.8800000000000001,2.5300000000000002
2012-01-01,0.82222727272727,0.6870899999999999,-0.06923000000000001,4.01,-0.3597067142857143,0.42499999999999993,2.3400000000000003,1.1600000000000001,2.3000000000000003
2012-02-01,0.74828571428571,0.7724899999999999,0.03167000000000003,4.07,-0.28212349999999997,0.6180000000000001,2.45,1.29,2.37
2012-03-01,0.568454545454546,0.7475700000000001,0.04167000000000004,4.1525,-0.23870075,0.625,2.45,1.2,2.14
2012-04-01,0.45431578947368406,0.7279199999999999,0.04167000000000004,3.9124999999999996,-0.27630116666666665,0.6925000000000001,2.45,1.15,2.03
2012-05-01,0.39490909090909104,0.7149999999999999,0.04167000000000004,3.3649999999999998,-0.3054980555555556,0.698,2.3,1.0899999999999999,2.03
2012-06-01,0.338857142857143,0.62978,0.014550000000000007,3.1725000000000003,-0.3773110588235294,0.5625,2.29,0.9199999999999999,2.02
2012-07-01,0.19704545454545502,0.51735,0.027270000000000016,3.245,-0.473395066666667,0.5874999999999999,2.37,0.8,1.9400000000000002
2012-08-01,0.07239130434782598,0.44481000000000004,0.06727,3.3575,-0.467230666666667,0.742,2.38,0.8899999999999999,1.8699999999999999
2012-09-01,0.0063,0.40803,0.08727000000000001,3.25,-0.390658058823529,0.7675000000000001,2.4000000000000004,0.8,1.72
2012-10-01,-0.022086956521739004,0.31396999999999997,0.09635999999999997,2.9325,-0.29339775,0.746,2.42,0.75,1.69
2012-11-01,-0.038000000000000006,0.29452,0.08818000000000001,3.0125,-0.374987368421053,0.74,2.41,0.8300000000000001,1.69
2012-12-01,-0.05452631578947398,0.27848000000000006,0.06818000000000002,2.8724999999999996,-0.291343,0.705,2.41,0.77,1.6300000000000001
2013-01-01,-0.025090909090908997,0.28228,0.061820000000000014,2.77,-0.3380856,0.6900000000000001,2.43,0.73,1.6300000000000001
2013-02-01,0.003349999999999992,0.28988,0.049089999999999995,2.7199999999999998,-0.2834238666666667,0.7275,2.44,0.76,1.6805
2013-03-01,-0.003949999999999981,0.29688000000000003,0.04000000000000001,2.84,-0.2696407368421053,0.7525000000000001,2.43,0.76,1.638947368
2013-04-01,0.008904761904761999,0.30556999999999995,0.028179999999999983,2.82,-0.2647253333333333,0.7825,2.4499999999999997,0.75,1.621428571
2013-05-01,0.0012272727272729933,0.30563,0.028179999999999983,2.6199999999999997,-0.25881175,0.798,2.44,0.72,1.563684211
2013-06-01,0.02024999999999999,0.31793999999999994,0.03817999999999999,2.61,-0.25021110526315793,0.835,2.45,0.73,1.5435
2013-07-01,0.081434782608696,0.36944,0.088,2.6199999999999997,-0.1958058260869565,0.872,2.5,0.79,1.54826087
2013-08-01,0.105863636363636,0.39261999999999997,0.10800000000000001,2.48,-0.18065045,0.8725,2.52,0.81,1.603181818
2013-09-01,0.11323809523809501,0.40688,0.11800000000000001,2.47,-0.1611073157894737,0.8775000000000001,2.54,0.78,1.6038095239999999
2013-10-01,0.10582608695652201,0.39663000000000004,0.101,2.46,-0.10407079999999999,0.804,2.55,0.8,1.565217391
2013-11-01,0.10338095238095202,0.40344,0.1,2.46,-0.1369540555555556,0.805,2.54,0.8,1.543333333
2013-12-01,0.1335,0.38473999999999997,0.07999999999999999,2.46,-0.12256508333333331,0.7775,2.59,0.6799999999999999,1.518947368
2014-01-01,0.172045454545455,0.40093,0.1,2.5,-0.16332439999999998,0.774,2.76,0.61,1.5290909090000002
2014-02-01,0.15810000000000002,0.39153000000000004,0.08199999999999999,2.5,-0.17796675,0.74,2.8000000000000003,0.6,1.569
2014-03-01,0.18533333333333302,0.40157,0.092,2.53,-0.1600058571428571,0.7225,2.9299999999999997,0.61,1.587619048
2014-04-01,0.20975,0.40664999999999996,0.092,2.56,-0.1492094,0.806,3.12,0.58,1.6321052630000001
2014-05-01,0.21457142857142902,0.41744000000000003,0.09999999999999999,2.58,-0.14160255,0.8150000000000001,3.27,0.55,1.7089999999999999
2014-06-01,0.131428571428571,0.43394,0.09999999999999999,2.5900000000000003,-0.122441,0.8250000000000001,3.41,0.47,1.694
2014-07-01,0.07504347826086999,0.42640999999999996,0.07999999999999999,2.52,-0.0966666666666667,0.818,3.54,0.13,1.585217391
2014-08-01,0.061571428571429,0.43118999999999996,0.07999999999999999,2.5,-0.092,0.82,3.56,0.09,1.592380952
2014-09-01,-0.022909090909090893,0.44291,0.09,2.54,-0.095,0.8075,3.59,0.07,1.580909091
2014-10-01,-0.0373913043478261,0.43835999999999997,0.07200000000000001,2.6,-0.07999999999999999,0.774,3.56,0.020000000000000018,1.5056521740000002
2014-11-01,-0.049100000000000005,0.42628,0.05199999999999999,2.62,-0.0885714285714286,0.7725,3.54,-0.08,1.529
2014-12-01,-0.0690952380952381,0.40818,0.028999999999999998,2.6,-0.10976562499999999,0.752,3.52,-0.09,1.3845
2015-01-01,-0.0973333333333333,0.40259999999999996,0.012999999999999984,2.54,-0.576666666666667,0.605,3.51,-0.05,1.228095238
2015-02-01,-0.1018,0.41362999999999994,0.02100000000000002,2.21,-0.8250000000000001,0.38249999999999995,3.48,-0.16999999999999998,1.23
2015-03-01,-0.11281818181818182,0.42435999999999996,0.03,2.1599999999999997,-0.928842625,0.4125,3.4899999999999998,-0.25,1.2399999999999998
2015-04-01,-0.1253,0.4395,0.04000000000000001,2.12,-0.815416666666667,0.488,3.5,-0.39,1.3399999999999999
2015-05-01,-0.1603684210526316,0.41798,0.019000000000000017,2.0,-0.96541675,0.5075,3.38,-0.42000000000000004,1.34
2015-06-01,-0.1939090909090909,0.39188000000000006,-0.010999999999999982,1.97,-0.9475758333333331,0.43,3.15,-0.5,1.1700000000000002
2015-07-01,-0.2087391304347826,0.39084,-0.02099999999999999,1.9500000000000002,-0.9343055,0.27999999999999997,2.94,-0.6699999999999999,1.08
2015-08-01,-0.28766666666666674,0.3267,-0.091,1.8800000000000001,-1.04125,0.125,2.6900000000000004,-0.72,0.94
2015-09-01,-0.3070454545454546,0.31575999999999993,-0.101,1.9,-1.0261761666666671,0.13,2.58,-0.75,0.8899999999999999
2015-10-01,-0.3035909090909091,0.33006,-0.08099999999999999,1.9,-1.095,0.15250000000000002,2.61,-0.69,0.8600000000000001
2015-11-01,-0.3876190476190476,0.27371000000000006,-0.13099999999999998,1.9200000000000002,-0.9808330000000001,0.15250000000000002,2.5900000000000003,-0.6599999999999999,0.8499999999999999
2015-12-01,-0.666318181818182,0.042769999999999975,-0.371,1.7999999999999998,-1.280213833333333,-0.05600000000000005,2.25,-0.92,0.5999999999999999
2016-01-01,-0.71615,0.01976,-0.4009999999999999,1.73,-1.3158729999999998,-0.13499999999999995,2.16,-1.03,0.59
2016-02-01,-0.723571428571429,0.05072999999999994,-0.44200000000000006,1.7399999999999998,-1.4286364,-0.08250000000000002,2.08,-1.04,0.55
2016-03-01,-0.7785238095238101,0.038250000000000006,-0.45200000000000007,1.76,-1.324167,-0.09000000000000002,1.8800000000000001,-1.1400000000000001,0.47
2016-04-01,-0.799190476190476,0.038899999999999935,-0.49000000000000005,1.7099999999999997,-1.296875,-0.03750000000000009,1.7899999999999998,-1.1400000000000001,0.42999999999999994
2016-05-01,-0.827181818181818,0.01929000000000003,-0.51,1.4300000000000002,-1.335375,-0.0625,1.81,-1.17,0.41000000000000003
2016-06-01,-0.817909090909091,0.024679999999999924,-0.49100000000000005,1.44,-1.268645,-0.040000000000000036,1.82,-1.1800000000000002,0.47
2016-07-01,-0.9145238095238091,-0.10640000000000005,-0.5619999999999999,1.31,-1.3900000000000001,-0.12,1.75,-1.29,0.39
2016-08-01,-1.028217391304348,-0.32387,-0.6719999999999999,1.03,-1.48,-0.22399999999999998,1.5100000000000002,-1.47,0.3500000000000001
2016-09-01,-1.051636363636364,-0.37093,-0.694,0.98,-1.5,-0.245,1.48,-1.5,0.3400000000000001
2016-10-01,-1.029,-0.32249999999999995,-0.6639999999999999,1.02,-1.47,-0.23249999999999998,1.43,-1.47,0.3900000000000001
2016-11-01,-1.022681818181818,-0.31227,-0.6539999999999999,1.05,-1.47,-0.22999999999999998,1.3599999999999999,-1.5,0.3900000000000001
2016-12-01,-1.185761904761905,-0.49774,-0.814,0.91,-1.67,-0.3925,1.1599999999999997,-1.6600000000000001,0.2899999999999999
2017-01-01,-1.225545454545455,-0.5379,-0.844,0.88,-1.83,-0.45,1.08,-1.67,0.18000000000000005
2017-02-01,-1.1985999999999999,-0.51326,-0.814,0.91,-1.6737781666666671,-0.40499999999999997,1.15,-1.56,0.15000000000000002
2017-03-01,-1.3093478260869569,-0.6343300000000001,-0.9239999999999999,0.81,-1.795,-0.482,1.0,-1.6099999999999999,-0.020000000000000018
2017-04-01,-1.360388888888889,-0.6948700000000001,-0.974,0.74,-1.8201190999999999,-0.495,0.94,-1.6600000000000001,-0.050000000000000044
2017-05-01,-1.379454545454545,-0.73919,-0.994,0.6799999999999999,-1.94770825,-0.538,0.9299999999999999,-1.67,-0.15000000000000002
2017-06-01,-1.49,-0.8655799999999999,-1.1039999999999999,0.56,-1.935,-0.595,0.79,-1.83,-0.2899999999999999
2017-07-01,-1.550428571428571,-0.9269,-1.145,0.48,-2.025833333333333,-0.49,0.74,-1.97,-0.38
2017-08-01,-1.579086956521739,-0.96881,-1.194,0.44999999999999996,-2.065,-0.528,0.7,-1.98,-0.44999999999999996
2017-09-01,-1.5793809523809519,-0.94089,-1.194,0.47,-2.09525,-0.27,0.7,-1.96,-0.44999999999999996
2017-10-01,-1.589545454545455,-0.8781300000000001,-1.197,0.43999999999999995,-2.185185222222222,-0.30000000000000004,0.6799999999999999,-1.94,-0.44000000000000006
2017-11-01,-1.649,-0.8014300000000001,-1.2570000000000001,0.3999999999999999,-2.226642166666667,-0.44000000000000006,0.6099999999999999,-2.0300000000000002,-0.54
2017-12-01,-1.867894736842105,-1.02129,-1.477,0.22999999999999998,-2.404305555555556,-0.5800000000000001,0.33999999999999986,-2.29,-0.7100000000000001
2018-01-01,-1.958454545454546,-1.1075,-1.5619999999999998,0.16000000000000014,-2.50154745,-0.46599999999999997,0.25,-2.32,-0.7899999999999999
2018-02-01,-2.1085000000000003,-1.2331699999999999,-1.712,-0.010000000000000009,-2.6515625,-0.6174999999999999,0.1299999999999999,-2.44,-0.85
2018-03-01,-2.407904761904762,-1.45158,-1.983,-0.15000000000000013,-2.87524075,-0.9850000000000001,-0.15000000000000013,-2.74,-1.01
2018-04-01,-2.5284500000000003,-1.4437100000000003,-2.103,-0.14000000000000012,-3.00023515,-1.0350000000000001,-0.1900000000000004,-2.8600000000000003,-1.0600000000000003
2018-05-01,-2.4852272727272733,-1.5164500000000003,-2.0820000000000003,-0.20000000000000018,-2.9461775,-0.9140000000000001,-0.15000000000000036,-2.8600000000000003,-1.09
2018-06-01,-2.512047619047619,-1.55132,-2.112,-0.1200000000000001,-2.980477142857143,-0.9524999999999999,-0.18000000000000016,-2.88,-1.18
2018-07-01,-2.490727272727273,-1.42381,-2.0789999999999997,-0.1499999999999999,-2.950435909090909,-0.7949999999999999,-0.22999999999999998,-2.84,-1.13
2018-08-01,-2.509,-1.3848099999999999,-2.0989999999999998,-0.22999999999999998,-2.967280909090909,-0.702,-0.29000000000000004,-2.87,-1.15
2018-09-01,-2.55885,-1.43907,-2.1900000000000004,-0.3100000000000003,-3.020283888888889,-0.7225000000000001,-0.3400000000000003,-2.97,-1.1500000000000001
2018-10-01,-2.6876956521739133,-1.5638200000000002,-2.3200000000000003,-0.44000000000000017,-3.201076428571429,-0.7100000000000002,-0.4800000000000002,-3.0700000000000003,-1.28
2018-11-01,-2.876363636363636,-1.68517,-2.5100000000000002,-0.6200000000000001,-3.375,-0.8475000000000001,-0.5800000000000001,-3.29,-1.36
2018-12-01,-3.0018947368421047,-1.7855599999999998,-2.64,-0.6699999999999999,-3.466,-1.03,-0.71,-3.35,-1.41
2019-01-01,-2.8979999999999997,-1.6717799999999998,-2.56,-0.52,-3.403503555555556,-0.956,-0.6799999999999999,-3.03,-1.3299999999999998
2019-02-01,-2.7984500000000003,-1.6140200000000002,-2.4600000000000004,-0.5300000000000002,-3.2586175714285712,-0.8250000000000002,-0.5900000000000003,-2.89,-1.2200000000000002
2019-03-01,-2.789190476190476,-1.6400000000000001,-2.43,-0.6499999999999999,-3.236575222222222,-0.8200000000000001,-0.6000000000000001,-2.88,-1.14
2019-04-01,-2.78045,-1.6500000000000004,-2.4200000000000004,-0.7900000000000003,-3.2175000000000002,-0.7950000000000002,-0.6600000000000001,-2.8695000000000004,-1.0700000000000003
2019-05-01,-2.7518636363636357,-1.64,-2.391,-0.8999999999999999,-3.2152624999999997,-0.762,-0.72,-2.8395,-0.98
2019-06-01,-2.6289,-1.5199999999999998,-2.251,-1.0099999999999998,-3.080555,-0.6349999999999998,-0.6999999999999997,-2.6994,-0.7899999999999998
2019-07-01,-2.5848695652173914,-1.4500000000000002,-2.1710000000000003,-1.11,-3.06,-0.5660000000000003,-0.6700000000000002,-2.62,-0.6500000000000001
2019-08-01,-2.467681818181818,-1.3,-2.051,-1.08,-2.8675,-0.42500000000000004,-0.81,-2.4878,-0.44999999999999996
2019-09-01,-2.447571428571429,-1.2599999999999998,-2.021,-1.0499999999999998,-2.82125,-0.40249999999999986,-0.8799999999999999,-2.4394,-0.32999999999999985
2019-10-01,-2.2928695652173907,-1.0999999999999999,-1.871,-0.9999999999999999,-2.6365909090909088,-0.22599999999999998,-0.8299999999999998,-2.3133,-0.06999999999999984
