symbol,bound,year,n_excursions,mean_duration_hours,median_duration_hours,mean_abs_entry_rho
XMRUSDT,high_tier,2022,150,30.35333333333333,13.5,2.1119305149230665
XMRUSDT,high_tier,2023,89,23.179775280898877,14.0,2.105610515449986
XMRUSDT,high_tier,2024-partial,31,9.64516129032258,5.0,2.5672261547959465
XMRUSDT,retail_taker,2020,43,45.48837209302326,10.0,4.530512226862122
XMRUSDT,retail_taker,2021,21,86.95238095238095,55.0,4.632750393560942
XMRUSDT,retail_taker,2022,15,66.46666666666667,19.0,3.7726390682381217
XMRUSDT,retail_taker,2023,2,1.5,1.5,7.2662528177859205
XMRUSDT,retail_taker,2024-partial,8,6.125,5.5,4.505854018419502
XLMUSDT,high_tier,2020,168,25.446428571428573,9.0,2.3545462819300362
XLMUSDT,high_tier,2021,61,72.93442622950819,15.0,9.305100866404555
XLMUSDT,high_tier,2022,205,14.682926829268293,7.0,2.02091887487162
XLMUSDT,high_tier,2023,221,9.212669683257918,4.0,2.080022405311659
XLMUSDT,high_tier,2024,134,17.48507462686567,7.5,2.0047474586591214
XLMUSDT,high_tier,2025,7,425.14285714285717,199.0,1.965648661882991
XLMUSDT,high_tier,2026-partial,15,76.06666666666666,36.0,1.8867369959684235
XLMUSDT,retail_taker,2020,40,44.125,17.0,4.426912766855489
XLMUSDT,retail_taker,2021,23,87.91304347826087,41.0,22.470463516594478
XLMUSDT,retail_taker,2022,6,13.5,8.0,3.800331249131107
XLMUSDT,retail_taker,2023,6,5.166666666666667,2.5,4.720088032744251
XLMUSDT,retail_taker,2024,3,12.666666666666666,11.0,5.241759260690549
DOTUSDT,high_tier,2020,32,32.53125,11.5,2.414092095515935
DOTUSDT,high_tier,2021,54,76.20370370370371,17.5,3.6966367526897264
DOTUSDT,high_tier,2022,418,7.657894736842105,4.0,2.173509080002441
DOTUSDT,high_tier,2023,15,91.8,63.0,3.2767947517638407
DOTUSDT,high_tier,2024,12,97.91666666666667,87.5,2.40644438300627
DOTUSDT,high_tier,2025,23,24.82608695652174,7.0,2.2158079010937817
DOTUSDT,high_tier,2026-partial,271,6.446494464944649,4.0,2.2792951365887273
DOTUSDT,retail_taker,2020,8,59.0,65.0,3.875898373311002
DOTUSDT,retail_taker,2021,20,89.6,17.0,7.790239269422026
DOTUSDT,retail_taker,2022,14,11.785714285714286,5.5,3.960081726904992
DOTUSDT,retail_taker,2023,3,68.33333333333333,81.0,7.850208660335593
DOTUSDT,retail_taker,2024,2,3.5,3.5,5.086650437624396
DOTUSDT,retail_taker,2025,1,66.0,66.0,8.821366024518406
DOTUSDT,retail_taker,2026-partial,5,30.2,32.0,3.7744619538697086
CRVUSDT,high_tier,2020,546,3.565934065934066,2.0,3.286890665284227
CRVUSDT,high_tier,2021,473,9.716701902748415,4.0,2.9464974285948635
CRVUSDT,high_tier,2022,727,6.614855570839064,3.0,2.578079496354438
CRVUSDT,high_tier,2023,794,4.288413098236775,2.0,2.5095963913841994
CRVUSDT,high_tier,2024,1536,3.5442708333333335,2.0,2.8263988830968962
CRVUSDT,high_tier,2025,717,6.336122733612274,4.0,2.5466186411435907
CRVUSDT,high_tier,2026-partial,704,5.5553977272727275,2.0,3.1398881750599803
CRVUSDT,retail_taker,2020,264,4.988636363636363,3.0,5.080286349677141
CRVUSDT,retail_taker,2021,143,13.013986013986013,6.0,5.265236483750417
CRVUSDT,retail_taker,2022,172,4.744186046511628,3.0,4.109404391214511
CRVUSDT,retail_taker,2023,163,6.699386503067485,4.0,3.9587568541732145
CRVUSDT,retail_taker,2024,559,4.2343470483005365,2.0,4.18712879105694
CRVUSDT,retail_taker,2025,207,7.101449275362318,5.0,3.7686731539660756
CRVUSDT,retail_taker,2026-partial,309,4.2459546925566345,3.0,4.634164318359404
HBARUSDT,high_tier,2021,247,16.441295546558706,4.0,2.7173145899837676
HBARUSDT,high_tier,2022,583,5.413379073756432,3.0,2.3722391855779654
HBARUSDT,high_tier,2023,767,3.8226857887874837,2.0,2.3375323440866898
HBARUSDT,high_tier,2024,398,7.9623115577889445,3.0,2.25268305061122
