symbol,company_name,market,first_trading_date,delisting_date,reason
THIF,THAI HOTEL INVESTMENT FREEHOLD AND LEASEHOLD PROPERTY FUND,SET,16 Jun 2014,19 Jul 2017,Others
THL,TONGKAH HARBOUR PUBLIC COMPANY LIMITED,SET,02 Jun 1981,20 Oct 2023,SET command de-lists because they violate SET's rule and regulations
TIC,THE THAI INSURANCE PUBLIC COMPANY LIMITED,SET,19 Aug 1976,31 Jul 2019,The company requests for voluntary delisting
TICO,THAI IRYO PUBLIC COMPANY LIMITED,SET,11 Sep 1981,25 Jul 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TIG,THAI INDUSTRIAL GASES PUBLIC COMPANY LIMITED,SET,05 Apr 1979,02 Jan 2002,The company requests for voluntary delisting
TIP,DHIPAYA INSURANCE PUBLIC COMPANY LIMITED,SET,24 Jul 1996,07 Sep 2021,The company requests for voluntary delisting
TISC_OLD,THAI INVESTMENT AND SECURITIES PUBLIC COMPANY LIMITED,SET,03 May 1983,02 Jul 1996,-
TISCOB,TISCO BANK PUBLIC COMPANY LIMITED,SET,02 Jul 1996,15 Jan 2009,Amalgamation
TLI-O,THAI LIFT INDUSTRIES PUBLIC COMPANY LIMITED,SET,31 Aug 1994,23 Sep 2005,The company requests for voluntary delisting
TLOGIS,TPARK LOGISTICS PROPERTY FUND,SET,16 Dec 2009,28 Dec 2017,Others
TMF,THAIMEX FINANCE AND SECURITIES PUBLIC COMPANY LIMITED,SET,21 Dec 1987,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TM-O,THAI MODERN PLASTIC INDUSTRY PUBLIC COMPANY LIMITED,SET,23 Mar 1993,01 Oct 2001,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TMP,THAI MELON POLYESTER PUBLIC COMPANY LIMITED,SET,18 Jan 1993,02 Jun 2000,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TOC,THAI OLEFINS PUBLIC COMPANY LIMITED,SET,06 Nov 2003,08 Dec 2005,The company requests for voluntary delisting
TPC,THAI PLASTIC AND CHEMICALS PUBLIC COMPANY LIMITED,SET,08 May 1984,30 Jan 2017,The company requests for voluntary delisting
TPROP,THAI PROPERTY PUBLIC COMPANY LIMITED,SET,16 Apr 1990,09 Dec 2016,The company requests for voluntary delisting
TRIF,Thai Retail Investment Fund,SET,27 Jul 2011,19 Jul 2017,Others
TRS,TRANG SEAFOOD PRODUCTS PUBLIC COMPANY LIMITED,SET,12 Jan 1993,29 Sep 2016,Others
TRUEE,TRUE CORPORATION PUBLIC COMPANY LIMITED,SET,22 Dec 1993,01 Mar 2023,Amalgamation
TSF,THREE SIXTY FIVE PUBLIC COMPANY LIMITED,mai,08 Dec 2005,21 Jun 2023,SET command de-lists because they violate SET's rule and regulations
TT&T,TT&T PUBLIC COMPANY LIMITED,SET,31 May 1994,29 Sep 2016,Others
TTF,THAI TANAKORN FINANCE PUBLIC COMPANY LIMITED,SET,25 Feb 1991,25 Dec 1997,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
TTL,TTL INDUSTRIES PUBLIC COMPANY LIMITED,SET,22 Sep 1989,18 Jun 2019,Others
TTP,"THAI TINPLATE MANUFACTURING CO.,LTD.",SET,30 Dec 1977,16 Jun 1994,The company requests for voluntary delisting
TTTM,THAI TORAY TEXTILE MILLS PUBLIC COMPANY LIMITED,SET,29 Oct 1981,01 Jul 2019,Amalgamation
TUCC,THAI UNIQUE COIL CENTER PUBLIC COMPANY LIMITED,SET,08 Dec 2005,26 Jul 2018,Others
TUPCO,"THAI UNION PAPER PUBLIC CO.,LTD.",SET,17 Nov 1980,05 Apr 1995,The company requests for voluntary delisting
TVI,THAIVIVAT INSURANCE PUBLIC COMPANY LIMITED,SET,04 Dec 1992,14 Jul 2023,The company requests for voluntary delisting
TWFP,THAI WAH FOOD PRODUCTS PUBLIC COMPANY LIMITED,SET,06 Dec 1989,01 Oct 2015,Amalgamation
TWS,THAI WAH STARCH PUBLIC COMPANY LIMITED,SET,16 Dec 1985,01 Oct 2015,Amalgamation
UAF,UNION ASIA FINANCE PUBLIC COMPANY LIMITED,SET,20 Jul 1984,19 Feb 1999,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
UBC,"UNITED BROADCASTING CORPORATION PUBLIC CO., LTD.",SET,27 Feb 1992,11 Apr 2006,The company requests for voluntary delisting
UCOM,UNITED COMMUNICATION INDUSTRY PUBLIC COMPANY LIMITED,SET,01 Feb 1994,14 Sep 2007,The company requests for voluntary delisting
UCT,UNICORD PUBLIC COMPANY LIMITED,SET,30 May 1990,12 Jun 1998,SET command de-lists because they fail to achieve satisfactory progress on its rehabilitation
UFC,UNIVERSAL FOOD PUBLIC COMPANY LIMITED,SET,16 Dec 1988,28 Oct 2004,The company requests for voluntary delisting
